2022-05-12 03:01:08.376518300 I> ÈÕÖ¾³õÊ¼»¯³É¹¦(Logger > Console > Helper.log)
2022-05-12 03:01:08.378167800 I> ·Ö±æÂÊ Âß¼­[1920x1080] ÎïÀí[3840x2160] Ëõ·Å[200%] DPI¸ÐÖª[192:HIDPI]
2022-05-12 03:01:08.378595700 T> main start
2022-05-12 03:01:08.381423800 I> ²åÈë<00> ±êÌâ{MEmu} ¾ä±ú(10A3E) Î»ÖÃ[3204,1775 100x30] [91m  [0m
2022-05-12 03:01:08.381724400 I> ²åÈë<01> ±êÌâ{VM} ¾ä±ú(409E6) Î»ÖÃ[205,935 1747x1046] [91m  [0m
2022-05-12 03:01:08.384658100 I> ÁÐ±íÄÚ´¢´æÁË2 ¸ö´°¿Ú¡ý
2022-05-12 03:01:08.384902100 I>     
2022-05-12 03:01:08.385260400 I>     ¶¥²ã´°¿Ú<02> ¾ä±ú(10A3E) ÀàÃû[Qt5QWindowIcon] ±êÌâ{MEmu}
2022-05-12 03:01:08.385694000 I>     ¶¥²ã´°¿Ú<02> ¾ä±ú(409E6) ÀàÃû[Qt5QWindowIcon] ±êÌâ{VM}
2022-05-12 03:01:08.386080600 I>     
2022-05-12 03:01:08.386406400 I> ¶¨ÒåMEMUÉè±¸ [127.0.0.1:21503] [VM] [/dev/input/event6]
2022-05-12 03:01:08.386725100 I> MEMU[VM] ¸¸´°¿Ú²ÎÊý¸üÐÂ[1280x782]
2022-05-12 03:01:08.545051100 T> capture finish 154 ms
2022-05-12 03:01:08.573987600 T> capture finish 28 ms
2022-05-12 03:01:08.583342200 T> capture finish 8 ms
2022-05-12 03:01:08.591698800 T> capture finish 7 ms
2022-05-12 03:01:08.599220300 T> capture finish 6 ms
2022-05-12 03:01:08.609061900 T> capture finish 9 ms
2022-05-12 03:01:08.617860600 T> capture finish 8 ms
2022-05-12 03:01:08.625161800 T> capture finish 7 ms
2022-05-12 03:01:08.633474100 T> capture finish 7 ms
2022-05-12 03:01:08.641614300 T> CaptureRender finish 7 ms
2022-05-12 03:01:08.648042400 T> capture finish 6 ms
2022-05-12 03:01:08.655270000 T> capture finish 6 ms
2022-05-12 03:01:08.661976700 T> capture finish 6 ms
2022-05-12 03:01:08.670840400 T> capture finish 8 ms
2022-05-12 03:01:08.678339500 T> capture finish 6 ms
2022-05-12 03:01:08.684446200 T> capture finish 5 ms
2022-05-12 03:01:08.690681100 T> capture finish 5 ms
2022-05-12 03:01:08.696743500 T> capture finish 5 ms
2022-05-12 03:01:08.703509800 T> capture finish 6 ms
2022-05-12 03:01:08.711251600 T> capture finish 7 ms
2022-05-12 03:01:08.719004600 T> capture finish 7 ms
2022-05-12 03:01:08.726414800 T> capture finish 6 ms
2022-05-12 03:01:08.733495500 T> capture finish 6 ms
2022-05-12 03:01:08.742553500 T> capture finish 8 ms
2022-05-12 03:01:08.749609400 T> capture finish 6 ms
2022-05-12 03:01:08.755617900 T> capture finish 5 ms
2022-05-12 03:01:08.761778500 T> capture finish 5 ms
2022-05-12 03:01:08.768084800 T> capture finish 6 ms
2022-05-12 03:01:08.774780800 T> capture finish 6 ms
2022-05-12 03:01:08.780988300 T> capture finish 5 ms
2022-05-12 03:01:08.787590200 T> capture finish 6 ms
2022-05-12 03:01:08.793401800 T> capture finish 5 ms
2022-05-12 03:01:08.800238200 T> capture finish 6 ms
2022-05-12 03:01:08.807124300 T> capture finish 6 ms
2022-05-12 03:01:08.814845100 T> capture finish 7 ms
2022-05-12 03:01:08.823472500 T> capture finish 8 ms
2022-05-12 03:01:08.830761900 T> capture finish 6 ms
2022-05-12 03:01:08.837932200 T> capture finish 6 ms
2022-05-12 03:01:08.844078400 T> capture finish 5 ms
2022-05-12 03:01:08.851394600 T> capture finish 6 ms
2022-05-12 03:01:08.858570900 T> capture finish 6 ms
2022-05-12 03:01:08.866059500 T> capture finish 7 ms
2022-05-12 03:01:08.872313100 T> capture finish 5 ms
2022-05-12 03:01:08.878468600 T> capture finish 5 ms
2022-05-12 03:01:08.884183300 T> capture finish 5 ms
2022-05-12 03:01:08.894346200 T> capture finish 9 ms
2022-05-12 03:01:08.901332900 T> capture finish 6 ms
2022-05-12 03:01:08.908680400 T> capture finish 7 ms
2022-05-12 03:01:08.914497200 T> capture finish 5 ms
2022-05-12 03:01:08.920447500 T> capture finish 5 ms
2022-05-12 03:01:08.926349000 T> capture finish 5 ms
2022-05-12 03:01:08.933078300 T> capture finish 6 ms
2022-05-12 03:01:08.939335700 T> capture finish 5 ms
2022-05-12 03:01:08.945780200 T> capture finish 6 ms
2022-05-12 03:01:08.952278300 T> capture finish 6 ms
2022-05-12 03:01:08.959794900 T> capture finish 7 ms
2022-05-12 03:01:08.966946000 T> capture finish 6 ms
2022-05-12 03:01:08.973942500 T> capture finish 6 ms
2022-05-12 03:01:08.980611700 T> capture finish 6 ms
2022-05-12 03:01:08.987072600 T> capture finish 5 ms
2022-05-12 03:01:08.993060700 T> capture finish 5 ms
2022-05-12 03:01:08.999872700 T> capture finish 6 ms
2022-05-12 03:01:09.006262600 T> capture finish 6 ms
2022-05-12 03:01:09.013911600 T> capture finish 7 ms
2022-05-12 03:01:09.020868500 T> capture finish 6 ms
2022-05-12 03:01:09.027374500 T> capture finish 6 ms
2022-05-12 03:01:09.033438600 T> capture finish 5 ms
2022-05-12 03:01:09.041090700 T> capture finish 7 ms
2022-05-12 03:01:09.047564100 T> capture finish 6 ms
2022-05-12 03:01:09.053916100 T> capture finish 6 ms
2022-05-12 03:01:09.060078300 T> capture finish 5 ms
2022-05-12 03:01:09.067677300 T> capture finish 7 ms
2022-05-12 03:01:09.073787400 T> capture finish 5 ms
2022-05-12 03:01:09.080228500 T> capture finish 6 ms
2022-05-12 03:01:09.086444700 T> capture finish 5 ms
2022-05-12 03:01:09.092890600 T> capture finish 6 ms
2022-05-12 03:01:09.100393200 T> capture finish 6 ms
2022-05-12 03:01:09.106896500 T> capture finish 6 ms
2022-05-12 03:01:09.113224800 T> capture finish 6 ms
2022-05-12 03:01:09.121250000 T> capture finish 7 ms
2022-05-12 03:01:09.127423800 T> capture finish 5 ms
2022-05-12 03:01:09.134173500 T> capture finish 6 ms
2022-05-12 03:01:09.140523600 T> capture finish 5 ms
2022-05-12 03:01:09.148674700 T> capture finish 7 ms
2022-05-12 03:01:09.155179400 T> capture finish 6 ms
2022-05-12 03:01:09.161583200 T> capture finish 6 ms
2022-05-12 03:01:09.168903100 T> capture finish 7 ms
2022-05-12 03:01:09.175843800 T> capture finish 6 ms
2022-05-12 03:01:09.182910000 T> capture finish 6 ms
2022-05-12 03:01:09.189843000 T> capture finish 6 ms
2022-05-12 03:01:09.197000100 T> capture finish 6 ms
2022-05-12 03:01:09.204298300 T> capture finish 7 ms
